Player,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joe Alexander,Career,NBA,67.0,0.0,11.1,1.5,3.7,0.41,0.2,0.7,0.34,1.3,3.0,0.426,0.442,0.9,1.3,0.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
Kyle Alexander,Career,NBA,2,0,6.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0
Ty-Shon Alexander,Career,NBA,5,0,3.0,0.2,1.0,0.2,0.2,0.6,0.33299999999999996,0.0,0.4,0.0,0.3,0.2,0.4,0.5,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.2,0.8
Victor Alexander,Career,NBA,286,155,20.1,3.8,7.4,.518,0.1,0.2,.286,3.8,7.2,.525,.522,1.1,1.8,.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9
Nickeil Alexander-Walker,Career,NBA,87,11,16.4,2.9,7.3,0.397,1.3,3.7,0.348,1.6,3.7,0.447,0.484,0.7,1.0,0.7240000000000001,0.2,2.2,2.4,2.0,0.6,0.3,1.3,1.5,7.8
Steve Alford,Career,NBA,169.0,3.0,9.7,1.7,3.8,0.45899999999999996,0.2,0.6,0.324,1.5,3.1,0.48700000000000004,0.48700000000000004,0.8,0.9,0.87,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4
Rawle Alkins,Career,NBA,10,1,12.0,1.3,3.9,0.33299999999999996,0.3,1.2,0.25,1.0,2.7,0.37,0.37200000000000005,0.8,1.2,0.667,1.1,1.5,2.6,1.3,0.1,0.0,0.8,0.7,3.7
Bill Allen,Career,ABA,38,,22.6,3.2,7.4,0.429,0.1,0.1,1.0,3.1,7.3,0.424,0.43200000000000005,1.5,2.6,0.586,,,7.1,0.6,,,1.0,3.2,7.9
Bob Allen,Career,NBA,27,,8.6,0.5,1.6,0.326,,,,,,,,0.7,1.3,0.556,,,2.1,0.4,,,,1.0,1.8
Grayson Allen,Career,NBA,109.0,23.0,17.7,2.7,6.2,0.428,1.5,3.7,0.391,1.2,2.5,0.484,0.545,1.2,1.4,0.833,0.2,1.8,2.0,1.3,0.4,0.1,0.9,1.3,8.0
